Hotel Name,Stay Type,Final Risk Score,Normalized Risk Score,Risk Score (0-100)
the-maximilian-by-heymcollections_2025_01_01_17_05_34,group,5.407765787113055,1.0,100.0
precise-tale-berlin_2025_01_01_17_14_11,couple,2.8464685645422545,0.5235024553914062,52.350245539140616
sketch-rooms-amp-apartments_2025_01_01_17_12_55,family,2.6718894495459837,0.4910241787967948,49.10241787967948
the-maximilian-by-heymcollections_2025_01_01_17_05_34,couple,2.478003030736559,0.4549540180667116,45.49540180667116
numa-i-blend-apartments_2025_01_01_18_11_53,couple,2.399127143201331,0.44028013859338905,44.028013859338905
yays-amsterdam-maritime_2025_01_01_18_22_14,family,2.0755502820764824,0.38008268143791274,38.00826814379128
numa-l-lief_2025_01_01_17_08_56,solo traveller,2.0387180004032985,0.37323049277939047,37.32304927793905
star-apart-hauptbahnhof_2025_01_01_18_08_45,solo traveller,1.9554771714405703,0.35774457015299854,35.77445701529985
gaijin_2025_01_01_17_15_19,couple,1.9318454186256266,0.35334817597746604,35.33481759774661
numa-paris-champs-elysees_2025_01_01_17_11_28,solo traveller,1.9072808795955427,0.3487782485090215,34.87782485090215
numa-i-portico-rooms_2025_01_01_18_21_21,family,1.7396032472182656,0.317583907059902,31.7583907059902
retrome-barcelona_2025_01_01_18_24_39,couple,1.658641043648914,0.30252189439423577,30.252189439423578
numa-i-blend-apartments_2025_01_01_18_11_53,family,1.5858106944988446,0.28897271226996735,28.897271226996736
numa-l-lief_2025_01_01_17_08_56,group,1.5574048505624223,0.2836881577212162,28.368815772121618
numa-i-luna-apartments_2025_01_01_18_25_53,solo traveller,1.4486641992130904,0.2634583097713212,26.345830977132117
sketch-rooms-amp-apartments_2025_01_01_17_12_55,couple,1.428017598861441,0.2596172661449195,25.961726614491948
numa-l-bloc-apartments_2025_01_01_18_09_13,couple,1.2949558012056692,0.23486277092060423,23.486277092060423
my4walls-serviced-apartments-hamburg_2025_01_01_18_09_48,group,1.2271006509752287,0.22223916277824293,22.223916277824294
alte-schonhauser-str-2-10119-berlin_2025_01_01_18_06_11,solo traveller,1.2257851230593275,0.2219944251444115,22.199442514441152
numa-i-novela-rooms-amp-apartments_2025_01_01_18_06_36,solo traveller,1.2245488249226195,0.22176442722720208,22.176442722720207
fashion-dancing_2025_01_01_17_10_07,family,1.1692404580227629,0.2114749923299742,21.14749923299742
frederics-serviced-apartment_2025_01_01_18_07_07,couple,1.119193008217069,0.20216428573326026,20.216428573326027
amsterdam-prince-island-by-yays_2025_01_01_18_23_29,group,1.113307067763544,0.2010692795976576,20.10692795976576
yays-amsterdam-salthouse-canal_2025_01_01_18_22_46,family,1.097015124534682,0.19803836585713377,19.803836585713377
palazzo-orseolo_2025_01_01_18_21_58,couple,1.0954197004029016,0.19774155700781187,19.774155700781186
numa-paris-champs-elysees_2025_01_01_17_11_28,family,1.0865441074370874,0.19609036314484002,19.609036314484
stilwerk-kantgaragen-berlin63_2025_01_01_17_11_33,solo traveller,1.0711081599392203,0.19321869678116108,19.32186967811611
camperio-house-suites-apartments_2025_01_01_18_13_35,family,1.060029740990834,0.19115769449664174,19.115769449664175
numa-l-bloc-apartments_2025_01_01_18_09_13,solo traveller,1.0470973434752613,0.188751782520566,18.8751782520566
joyn-munich-olympic-munchen_2025_01_01_18_10_56,couple,0.9771942019018813,0.17574717101877776,17.574717101877777
about-berlin-hotel_2025_01_01_17_13_24,family,0.9604602301371188,0.17263402335782196,17.263402335782196
numa-i-terra-apartments_2025_01_01_17_07_52,group,0.9503012441313266,0.17074407015566512,17.07440701556651
alte-schonhauser-str-2-10119-berlin_2025_01_01_18_06_11,group,0.929445539835483,0.16686412533689168,16.686412533689168
capriceroma_2025_01_01_18_13_56,family,0.9257335233820676,0.16617355076787552,16.61735507678755
gaderin_2025_01_01_18_25_06,group,0.9068787840747496,0.16266586063921698,16.266586063921697
excelsiordusseldorf_2025_01_01_18_08_19,couple,0.8697932625173621,0.15576655984472054,15.576655984472055
numa-i-prestigio-apartments_2025_01_01_18_26_46,family,0.8526875215822429,0.15258424914588103,15.258424914588103
la-pepa-chic-bed_2025_01_01_18_25_33,solo traveller,0.8420350544193268,0.15060248990200129,15.060248990200128
capitol-roma_2025_01_01_18_14_01,couple,0.8381291009085823,0.14987583575158722,14.987583575158721
numa-l-lief_2025_01_01_17_08_56,family,0.8317399110856929,0.14868720631966628,14.868720631966628
amsterdam-prince-island-by-yays_2025_01_01_18_23_29,family,0.8292172353833884,0.14821789382933948,14.821789382933947
gaijin_2025_01_01_17_15_19,group,0.7859340921739971,0.14016560248241167,14.016560248241166
frogner-house-apartments-skovveien-15_2025_01_01_18_24_02,family,0.7609432286065404,0.13551636262746455,13.551636262746456
yays-amsterdam-docklands_2025_01_01_18_23_12,group,0.7589211150817369,0.13514017351477672,13.514017351477673
rodo-hotel-fashion-delight_2025_01_01_18_11_59,couple,0.7320798306743859,0.13014668583925953,13.014668583925953
alte-schonhauser-str-2-10119-berlin_2025_01_01_18_06_11,family,0.729550116119318,0.1296760638577776,12.96760638577776
numa-i-felice-rooms-amp-apartments_2025_01_01_18_12_22,family,0.7196655799370459,0.12783716863744077,12.783716863744077
precise-tale-berlin_2025_01_01_17_14_11,family,0.7029775046456386,0.12473255944545578,12.473255944545578
numa-venice-forcola_2025_01_01_18_21_55,couple,0.6779991014084197,0.1200856376802294,12.00856376802294
numa-i-arc-rooms-amp-apartments_2025_01_01_17_11_52,family,0.6753677166352123,0.11959610121710261,11.959610121710261
