Hotel Name,Mean Rating,Mean Rating Label,Median Rating,Variance Rating,Variance Rating Label,Low-Score Proportion,Low-Score Proportion Label,Low-Score Trend Slope,Low-Score Trend Confidence,Variance Trend Slope,Variance Trend Confidence,Composite Risk Score,Overall Risk Label,Low-Score Trend Slope Label,Low-Score Trend Confidence Label,Composite Risk Score Label
numa-i-poise-rooms-and-apartments,9.003208686337521,High,9.0,0.6914284108452641,Low,0.02920927062031356,Low,-0.00033087146367941756,0.030411495468412427,-0.007097368941683705,0.008786137633383552,-3.3800262271581767,Low,Low,High,Low
stilwerk-kantgaragen-berlin63,8.71188524590164,Medium,9.0,1.064722128136808,Low,0.0651639344262295,Medium,0.0002038303136045857,0.0016218479594153228,-0.02410148888103161,0.042921992434842335,-3.13512487553188,Low,Low,Medium,Low
fashion-dancing,9.345653123634776,High,9.5,0.599750655500619,Low,0.023700305810397553,Low,0.00018533963488091926,0.0024690976991095783,0.02012969361593215,0.031463936435828684,-3.5444358626099564,Low,Low,Medium,Low
numa-i-colmena-apartments,9.062091503267974,High,9.0,1.0937412368687849,Low,0.025326797385620915,Low,0.0005875944533345396,0.014481864472294551,0.012907287302116845,0.023530993945778195,-3.282642583932865,Low,Low,Medium,Low
numa-i-leo-apartments,8.957758620689654,High,9.0,1.143721889055472,Low,0.022988505747126436,Low,-7.68846346057737e-06,3.5579591546288774e-06,0.000941196068632351,0.00018873041815038359,-3.2284000467714864,Low,Low,Low,Low
numa-i-luna-apartments,8.807347670250897,High,9.0,1.4877684925458412,Medium,0.06272401433691754,Medium,-0.0004127997771875902,0.0028194084767240884,0.019969810907861096,0.02079246952717205,-3.043332092032799,Low,Low,Medium,Low
the-wood,8.811854460093896,High,9.0,1.1285444483290603,Low,0.04225352112676056,Low,0.00013761086580984703,0.001262139790217922,-0.006885956915923952,0.00952937047056946,-3.1657127624938903,Low,Low,Medium,Low
numa-i-terra-apartments,9.178997648442094,High,9.333333333333334,0.5797125149167608,Low,0.02655790711346267,Low,-0.00018530850689267532,0.007188498268653184,-0.0017900159588736854,0.0006534204069754419,-3.484622414642344,Low,Low,Medium,Low
numa-i-prestigio-apartments,9.35374149659864,High,10.0,1.3329081632653061,Low,0.02040816326530612,Low,0.0024489795918367346,0.059999999999999984,-0.0013945578231292525,0.0019872325333963855,-3.3310697278911574,Low,Low,High,Low
numa-milan-sempione,9.145601851851852,High,9.333333333333334,0.9554850786819684,Low,0.04675925925925926,Low,-0.0012932235727913907,0.02262010698389349,0.013718191952322763,0.013341275563918507,-3.347102413025847,Low,Low,Medium,Low
