stay_type,room_type,combined_name,risk_score,avg_rating,review_count
Couple,Comfort Two-Bedroom Apartment with Shared Terrace (4 Adults + 2 Children),Numa YAYS Amsterdam Prince Island by Numa - amsterdam-prince-island-by-yays,0.0,10.0,2
Couple,Comfort Two-Bedroom Family (4 Adults + 2 Children),Numa YAYS Amsterdam Prince Island by Numa - amsterdam-prince-island-by-yays,,7.0,1
Couple,Deluxe Double Room,Numa Lief - numa-l-lief,0.670564988056025,8.373983739837398,123
Couple,Deluxe Double Room with Bath,Numa Root - antik-city-prague,0.22459677419354843,8.8125,32
Couple,Deluxe Double Room with Court View,Numa Palazzo Orseolo - palazzo-orseolo,0.07569536003994434,8.0,2
Couple,Deluxe Room,Numa Potsdamer Platz - precise-tale-berlin,1.1561128105128093,7.529411764705882,17
Couple,Deluxe Studio,Numa Bloc - numa-l-bloc-apartments,1.0353342087770459,8.047619047619047,21
Couple,Deluxe Studio,Numa Camperio - camperio-house-suites-apartments,0.1,8.5,2
Couple,Deluxe Studio,Numa Jondo - sevilla-luxury-rentals-horno-santa-cruz,0.7661541149670443,7.5,6
Couple,Deluxe Studio,Numa Libusa - sunrise,0.12683982683982684,9.409090909090908,22
Couple,Deluxe Studio,Numa Molina - sevilla-luxury-rentals-catedral-sevilla,0.4,9.0,2
Couple,Deluxe Suite,Numa Camperio - camperio-house-suites-apartments,0.9400914041701611,7.75,4
Couple,Deluxe Suite,Numa Libusa - sunrise,0.28490016383835676,9.307692307692308,26
Couple,Deluxe Suite,Numa Molina - sevilla-luxury-rentals-catedral-sevilla,,9.0,1
Couple,Deluxe Suite,Numa Nørrebro - numa-i-drejervej,,9.0,1
Couple,Deluxe Suite,Numa Poise - numa-i-poise-rooms-and-apartments,0.535164835164835,8.928571428571429,14
Couple,Deluxe Suite,Numa Republika - republika-amp-suites,,9.0,1
Couple,Deluxe Suite,Numa Root - antik-city-prague,0.5238095238095238,9.0,7
Couple,Deluxe Suite,Numa Solea - numa-l-solea-rooms-amp-apartments,0.9084081303312075,8.76923076923077,13
Couple,Deluxe Suite with bath tub,Numa Libusa - sunrise,0.2,9.0,7
Couple,Double Room,Numa Bloomsbury - bedfordcornerhotel,0.22447017797017796,8.7,10
