mean_rating,low_score_proportion,variance_rating,rating_std,review_count,confidence_interval,recent_trend,low_score_trend,variance_trend,stay_type_variation,room_type_variation,guest_origin_variation,origin_count,max_origin_diff,main_origin_ratio,time_variation,performance_deviation,stability_index,risk_score,combined_name,normalized_risk_score,mean_rating_label,low_score_proportion_label,variance_rating_label,confidence_interval_label,recent_trend_label,stay_type_variation_label,room_type_variation_label,time_variation_label,performance_deviation_label,normalized_risk_score_label,guest_origin_variation_label,stability_index_label,max_origin_diff_label
7.97119341563786,0.15363511659807957,3.530762447429114,1.879032316760176,729,0.27325694279661317,-0.0008687700045724731,0.00013717421124828533,-0.008184727937814365,0.23333087026635704,0.4006157202536213,1.2020088979600565,45,6.5,0.6392318244170097,0.36919371580334265,-0.26840962586217504,0.4006362840113639,0.1583586852739849,Numa Fore - my4walls-serviced-apartments-hamburg,37.85,High,High,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium
8.742690058479532,0.06432748538011696,2.427519779841761,1.5580499927286549,171,0.4703965774843617,0.006042884990253411,0.0003898635477582846,0.012697452443368968,0.22084913070636236,0.2618321189140115,1.0414312487444803,41,4.0,0.14035087719298245,0.337951018731183,0.1625591394019404,0.6407546010551978,-16.784930351065753,Numa Root - antik-city-prague,16.07,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,Low,Low
9.043478260869565,0.08695652173913043,2.043478260869565,1.4295028019803127,23,1.2363267337933905,0.0018903591682419357,0.003780718336483932,0.0671077504725898,0.24965951439054138,,0.6689774765995719,9,1.666666666666666,0.391304347826087,0.5995111177008426,0.3305836167510247,0.8083711847311797,,Numa Lustre - friendly-rentals-mozart,,Low,Medium,Low,High,Medium,Medium,High,Medium,Low,High,Low,Low,Low
8.824468085106384,0.06648936170212766,2.34777304964539,1.5322444483976407,376,0.3107535889677102,-0.0014184397163120564,0.0002659574468085107,0.0068751528491073745,0.37116362761676086,0.4440881036032385,0.7309446797701207,56,3.0,0.16489361702127658,0.4151069450427837,0.20824148356781516,0.6490976364576998,-18.405860357694337,Numa Docklands - yays-amsterdam-docklands,13.99,Low,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low
8.362068965517242,0.1206896551724138,2.9460269865067468,1.7163994251067398,116,0.6313375813922271,-0.01350574712643678,0.0005747126436781609,0.012148236226714168,0.25975662162061686,0.6754613881858126,1.4197080181337927,27,6.0,0.5948275862068966,0.568335577961743,-0.05006110203325128,0.585563937755595,-2.94752457043731,Numa Goya - numa-i-goya-apartments,33.86,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
8.879603399433428,0.03824362606232295,1.4422216864565125,1.2009253459131057,706,0.17747532289462242,0.0015580736543909343,2.948538486079559e-20,0.0014994627332226348,0.08322656368522492,0.19896110711169837,0.7577690043949354,49,4.0,0.5254957507082153,0.15410117885788546,0.23904083773020465,0.7837153708117447,-28.964401798518647,Numa Saga - numa-l-saga-apartments,0.42,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low
8.71116504854369,0.05339805825242718,2.2107752816951316,1.486867607319203,412,0.28799341927539146,-0.0012135922330097086,0.00016181229773462786,0.01217777033813191,0.18537721474585606,0.34448456185474874,0.9877361603524124,55,5.0,0.4053398058252427,0.4939784712334193,0.14494882996890598,0.6533248166153143,-17.782367699592683,Numa Novela - numa-i-novela-rooms-amp-apartments,14.79,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Medium,Low,Low,Low,Medium
8.02158273381295,0.1510791366906475,5.122719215931603,2.263342487546152,139,0.7591825478838814,-0.014388489208633094,0.0011990407673860913,0.0470106673282064,0.4629452032290922,1.1846453782127455,2.1151988193310514,31,9.0,0.2949640287769784,0.7887531144066332,-0.24026145122277334,0.24251887009511144,22.54448930564992,Numa Ivy - villa-ivy-by-heymcollections,66.62,High,High,High,High,High,Medium,High,High,High,High,High,High,Medium
9.237704918032787,0.02459016393442623,1.323194689066522,1.1503019990709058,122,0.4123588554727533,-0.003278688524590167,2.2750471816089275e-19,-0.0009327303561333268,0.3023353843951023,0.3400235398710755,1.3581997065842053,36,8.0,0.1557377049180328,0.3347050456753692,0.43908133141468875,0.7978619175859987,-26.9091563193383,Numa Libusa - sunrise,3.06,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,Medium
8.360128617363344,0.10932475884244373,3.2956954672751797,1.8154050422082615,311,0.4051075057700011,-0.000643086816720255,0.00010718113612004293,0.005632553498170466,0.1945328592907684,0.27914022328564475,1.1306006398897663,51,5.0,0.15434083601286175,0.4006188196882504,-0.05114500752503388,0.43589196044303213,-6.301254755636032,Numa Mozart - tophotelmozart,29.55,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium
7.341463414634147,0.23170731707317074,7.171030974113423,2.677878073048402,164,0.8258162389006181,0.0016260162601626066,0.0010162601626016257,0.002074572469862648,0.30500461642273496,0.427581571452722,2.5740017762031573,40,9.0,0.38414634146341464,0.7631321238222574,-0.6201855713578137,0.08814219189314375,39.757630123909884,Numa Script - la-pepa-chic-bed,88.74,High,High,High,High,Medium,Medium,Medium,High,High,High,High,High,Medium
