user_country,room_view,stay_type,original_lang,Month,rating,review_post_date,stay_duration_days,combined_name
Germany,Large Studio with Kitchenette,Solo traveller,en,2024-10,5.0,2024-10-14,4,Numa Fore - my4walls-serviced-apartments-hamburg
Denmark,Extra Large Studio with Kitchenette and Sofa Bed,Group,en,2024-10,10.0,2024-10-14,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,en,2024-10,10.0,2024-10-05,2,Numa Fore - my4walls-serviced-apartments-hamburg
United States,Large Studio with Kitchenette and Sofa Bed,Solo traveller,en,2024-10,3.0,2024-10-01,4,Numa Fore - my4walls-serviced-apartments-hamburg
Indonesia,Large Studio with Kitchenette - Single Bed,Solo traveller,en,2024-09,10.0,2024-09-21,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,en,2024-09,4.0,2024-09-16,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,en,2024-09,10.0,2024-09-03,7,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette - Single Bed,Solo traveller,en,2024-08,1.0,2024-08-25,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,en,2024-08,10.0,2024-08-16,2,Numa Fore - my4walls-serviced-apartments-hamburg
Belgium,Large Studio with Kitchenette,Couple,en,2024-08,10.0,2024-08-14,3,Numa Fore - my4walls-serviced-apartments-hamburg
Norway,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,en,2024-08,5.0,2024-08-10,3,Numa Fore - my4walls-serviced-apartments-hamburg
Spain,Large Studio with Kitchenette and Sofa Bed,Family,en-us,2024-08,1.0,2024-08-08,2,Numa Fore - my4walls-serviced-apartments-hamburg
United Kingdom,Extra Large Studio with Kitchenette and Sofa Bed,Family,en,2024-07,5.0,2024-07-31,2,Numa Fore - my4walls-serviced-apartments-hamburg
Turkey,Large Studio with Kitchenette - Single Bed,Solo traveller,en,2024-07,1.0,2024-07-30,2,Numa Fore - my4walls-serviced-apartments-hamburg
United States,Extra Large Studio with Kitchenette and Sofa Bed,Family,en-us,2024-07,6.0,2024-07-27,7,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-07,10.0,2024-07-26,1,Numa Fore - my4walls-serviced-apartments-hamburg
Denmark,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-07,3.0,2024-07-21,2,Numa Fore - my4walls-serviced-apartments-hamburg
India,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-07,6.0,2024-07-18,3,Numa Fore - my4walls-serviced-apartments-hamburg
United Kingdom,Large Studio with Kitchenette - Single Bed,Solo traveller,en,2024-07,1.0,2024-07-18,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-07,10.0,2024-07-13,3,Numa Fore - my4walls-serviced-apartments-hamburg
Netherlands,Large Studio with Kitchenette and Sofa Bed,Family,en,2024-07,10.0,2024-07-12,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2025-01,7.0,2025-01-01,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Solo traveller,de,2025-01,9.0,2025-01-01,7,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-12,9.0,2024-12-30,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-12,7.0,2024-12-29,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-12,9.0,2024-12-29,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Group,de,2024-12,8.0,2024-12-28,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-12,8.0,2024-12-26,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-12,7.0,2024-12-26,3,Numa Fore - my4walls-serviced-apartments-hamburg
Switzerland,Large Studio with Kitchenette,Group,de,2024-12,9.0,2024-12-22,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-12,8.0,2024-12-20,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-12,9.0,2024-12-19,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-12,8.0,2024-12-19,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette - Single Bed,Solo traveller,de,2024-12,8.0,2024-12-18,1,Numa Fore - my4walls-serviced-apartments-hamburg
Turkey,Extra Large Studio with Kitchenette and Sofa Bed,Family,tr,2024-12,8.0,2024-12-16,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-12,8.0,2024-12-16,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-12,9.0,2024-12-16,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette - Single Bed,Solo traveller,de,2024-12,9.0,2024-12-14,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-12,7.0,2024-12-11,3,Numa Fore - my4walls-serviced-apartments-hamburg
Denmark,Extra Large Studio with Kitchenette and Sofa Bed,Family,da,2024-12,8.0,2024-12-09,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-12,8.0,2024-12-07,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Solo traveller,de,2024-12,8.0,2024-12-05,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-12,9.0,2024-12-04,3,Numa Fore - my4walls-serviced-apartments-hamburg
Denmark,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-12,9.0,2024-12-03,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-12,9.0,2024-12-03,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,de,2024-11,8.0,2024-11-29,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-11,7.0,2024-11-29,3,Numa Fore - my4walls-serviced-apartments-hamburg
Austria,Large Studio with Kitchenette,Family,de,2024-11,8.0,2024-11-28,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Couple,de,2024-11,8.0,2024-11-25,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,it,2024-11,9.0,2024-11-23,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-11,8.0,2024-11-22,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-11,9.0,2024-11-19,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-11,9.0,2024-11-19,2,Numa Fore - my4walls-serviced-apartments-hamburg
Turkey,Large Studio with Kitchenette - Single Bed,Solo traveller,tr,2024-11,8.0,2024-11-18,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-11,9.0,2024-11-17,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-11,7.0,2024-11-14,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-11,8.0,2024-11-14,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-11,7.0,2024-11-13,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Group,de,2024-11,8.0,2024-11-11,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Group,de,2024-11,8.0,2024-11-11,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette - Single Bed,Solo traveller,de,2024-11,8.0,2024-11-08,4,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Group,de,2024-11,8.0,2024-11-08,2,Numa Fore - my4walls-serviced-apartments-hamburg
Switzerland,Large Studio with Kitchenette,Group,de,2024-11,9.0,2024-11-07,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-11,8.0,2024-11-06,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Group,de,2024-11,9.0,2024-11-05,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-11,9.0,2024-11-05,9,Numa Fore - my4walls-serviced-apartments-hamburg
Czech Republic,Extra Large Studio with Kitchenette and Sofa Bed,Family,cs,2024-11,7.0,2024-11-04,4,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-11,8.0,2024-11-03,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-11,8.0,2024-11-03,7,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-11,8.0,2024-11-02,5,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-11,9.0,2024-11-02,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,7.0,2024-10-29,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,7.0,2024-10-28,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Couple,de,2024-10,7.0,2024-10-28,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-10,8.0,2024-10-27,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-10,9.0,2024-10-27,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,8.0,2024-10-27,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,de,2024-10,8.0,2024-10-27,5,Numa Fore - my4walls-serviced-apartments-hamburg
Denmark,Large Studio with Kitchenette,Couple,da,2024-10,8.0,2024-10-26,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette - Single Bed,Group,de,2024-10,8.0,2024-10-25,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,7.0,2024-10-24,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,8.0,2024-10-23,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-10,8.0,2024-10-22,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Group,de,2024-10,9.0,2024-10-21,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,9.0,2024-10-19,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,7.0,2024-10-15,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-10,9.0,2024-10-15,8,Numa Fore - my4walls-serviced-apartments-hamburg
Denmark,Large Studio with Kitchenette and Sofa Bed,Family,da,2024-10,8.0,2024-10-15,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-10,9.0,2024-10-11,4,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-10,8.0,2024-10-11,4,Numa Fore - my4walls-serviced-apartments-hamburg
Austria,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,7.0,2024-10-09,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-10,9.0,2024-10-08,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-10,7.0,2024-10-07,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,8.0,2024-10-07,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-10,8.0,2024-10-06,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette - Single Bed,Solo traveller,de,2024-10,9.0,2024-10-06,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Couple,de,2024-10,8.0,2024-10-04,13,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-10,7.0,2024-10-04,5,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-09,8.0,2024-09-30,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette - Single Bed,Solo traveller,de,2024-09,7.0,2024-09-30,1,Numa Fore - my4walls-serviced-apartments-hamburg
Netherlands,Large Studio with Kitchenette and Sofa Bed,Family,nl,2024-09,8.0,2024-09-25,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-09,9.0,2024-09-24,4,Numa Fore - my4walls-serviced-apartments-hamburg
Switzerland,Large Studio with Kitchenette,Couple,de,2024-09,8.0,2024-09-23,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Group,de,2024-09,7.0,2024-09-23,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Couple,de,2024-09,8.0,2024-09-23,3,Numa Fore - my4walls-serviced-apartments-hamburg
Italy,Extra Large Studio with Kitchenette and Sofa Bed,Group,it,2024-09,9.0,2024-09-22,3,Numa Fore - my4walls-serviced-apartments-hamburg
Austria,Large Studio with Kitchenette,Family,de,2024-09,9.0,2024-09-18,2,Numa Fore - my4walls-serviced-apartments-hamburg
Austria,Large Studio with Kitchenette,Family,de,2024-09,8.0,2024-09-17,3,Numa Fore - my4walls-serviced-apartments-hamburg
Switzerland,Large Studio with Kitchenette,Family,de,2024-09,9.0,2024-09-17,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-09,7.0,2024-09-15,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-09,8.0,2024-09-13,3,Numa Fore - my4walls-serviced-apartments-hamburg
Bulgaria,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-09,9.0,2024-09-09,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-09,7.0,2024-09-08,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Group,de,2024-09,8.0,2024-09-08,3,Numa Fore - my4walls-serviced-apartments-hamburg
Italy,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,it,2024-09,7.0,2024-09-06,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Group,de,2024-09,8.0,2024-09-06,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Family,de,2024-09,9.0,2024-09-06,1,Numa Fore - my4walls-serviced-apartments-hamburg
France,Large Studio with Kitchenette and Sofa Bed,Family,fr,2024-09,7.0,2024-09-05,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Family,de,2024-09,9.0,2024-09-04,3,Numa Fore - my4walls-serviced-apartments-hamburg
Sweden,Large Studio with Kitchenette,Family,pl,2024-09,8.0,2024-09-03,3,Numa Fore - my4walls-serviced-apartments-hamburg
Japan,Large Studio with Kitchenette - Single Bed,Solo traveller,ja,2024-09,9.0,2024-09-02,2,Numa Fore - my4walls-serviced-apartments-hamburg
Czech Republic,Large Studio with Kitchenette and Sofa Bed,Family,cs,2024-09,8.0,2024-09-02,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Group,de,2024-09,9.0,2024-09-02,1,Numa Fore - my4walls-serviced-apartments-hamburg
Poland,Large Studio with Kitchenette and Sofa Bed,Family,pl,2024-09,8.0,2024-09-01,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Group,de,2024-09,8.0,2024-09-01,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-08,7.0,2024-08-30,2,Numa Fore - my4walls-serviced-apartments-hamburg
Austria,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-08,8.0,2024-08-30,4,Numa Fore - my4walls-serviced-apartments-hamburg
Belgium,Large Studio with Kitchenette and Sofa Bed,Family,nl,2024-08,9.0,2024-08-30,1,Numa Fore - my4walls-serviced-apartments-hamburg
Spain,Extra Large Studio with Kitchenette and Sofa Bed,Family,es,2024-08,9.0,2024-08-28,2,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette - Single Bed,Solo traveller,de,2024-08,8.0,2024-08-28,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette and Sofa Bed,Group,de,2024-08,8.0,2024-08-27,5,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-08,9.0,2024-08-27,1,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Large Studio with Kitchenette,Family,de,2024-08,8.0,2024-08-26,3,Numa Fore - my4walls-serviced-apartments-hamburg
Italy,Extra Large Studio with Kitchenette and Sofa Bed,Group,it,2024-08,9.0,2024-08-26,3,Numa Fore - my4walls-serviced-apartments-hamburg
Germany,Extra Large Studio with Kitchenette and Sofa Bed,Family,de,2024-08,8.0,2024-08-26,2,Numa Fore - my4walls-serviced-apartments-hamburg
Spain,Large Studio with Kitchenette and Sofa Bed,Family,es,2024-08,9.0,2024-08-26,1,Numa Fore - my4walls-serviced-apartments-hamburg
Spain,Large Studio with Kitchenette and Sofa Bed,Family,es,2024-08,7.0,2024-08-25,6,Numa Fore - my4walls-serviced-apartments-hamburg
