Hotel Name,User-Origin Alignment,Stay-Type Adaptability,Avg Rating,Seasonal Consistency,Overall Score
numa-lisbon-anjos_2025_01_01_18_24_22,10.0,10.0,10.0,1.0,8.2
fashion-dancing_2025_01_01_17_10_07,9.173281092672337,9.287149799885649,9.235602094240837,0.9463709283326389,7.57194648699985
numa-i-prestigio-apartments_2025_01_01_18_26_46,9.152947845804988,9.188131313131313,9.366666666666667,0.8953635250099157,7.563656553692974
friendly-rentals-mozart_2025_01_01_18_24_52,9.481481481481481,9.11372549019608,9.043478260869565,0.7356113066182313,7.530867643534501
sunrise_2025_01_01_17_09_50,9.1140078732184,9.192012987012987,9.237704918032787,0.8992583628871367,7.521483510804392
numa-i-terra-apartments_2025_01_01_17_07_52,9.116214957118219,9.098365400454911,9.15267175572519,0.9700910658816959,7.491641989356831
le-fiorentine-boutique-apartments_2025_01_01_18_12_49,9.168406593406592,8.930065359477124,9.186046511627907,0.9598381656108756,7.471517578920411
numa-i-colmena-apartments_2025_01_01_18_24_57,9.113602440444545,9.161981494550302,9.069620253164556,0.8936866917488534,7.470718507411848
numa-milan-sempione_2025_01_01_18_13_31,9.1114582090146,9.12872590206676,9.086206896551724,0.9049378932113123,7.468158241001263
numa-i-leo-apartments_2025_01_01_18_08_40,9.139245600045314,9.08068783068783,9.01010101010101,0.84610164616248,7.4336912194433
numa-madrid-sol-apartments_2025_01_01_18_25_58,9.142916666666668,9.075396825396826,9.056603773584905,0.6978182400551907,7.4154387977564715
numa-i-voga-rooms-amp-apartments_2025_01_01_18_24_25,8.975992063492063,9.151315789473685,8.848484848484848,0.9993878749266075,7.392625353522574
numa-i-verso-apartments_2025_01_01_18_14_30,8.997694774606392,8.89612676056338,9.058823529411764,0.9670773089274052,7.381461466661185
numa-i-poise-rooms-and-apartments_2025_01_01_17_10_24,9.131595466538627,8.94908482142857,8.938823529411765,0.8405316009481894,7.3795620478613095
sevilla-luxury-rentals-horno-santa-cruz_2025_01_01_18_26_21,9.23378427858691,8.677174091731054,9.100719424460431,0.7895310819347597,7.372514879010895
numa-l-saga-apartments_2025_01_01_18_08_02,9.065468576719315,8.858966413434626,8.879603399433428,0.9768036738521552,7.349643761003239
republika-amp-suites_2025_01_01_17_10_47,9.064112883644134,8.993055555555555,8.959016393442623,0.6982720135148376,7.346906255045751
frogner-house-apartments-skovveien-15_2025_01_01_18_24_02,8.997490487861812,8.894643201542912,8.848360655737705,0.9630061908970307,7.3275993488581035
yays-amsterdam-docklands_2025_01_01_18_23_12,8.984927836310677,9.01117993848257,8.824468085106384,0.8530139461153909,7.3249931460135205
numa-l-solea-rooms-amp-apartments_2025_01_01_18_26_10,8.91620274518825,9.001634216137358,8.892561983471074,0.846281688881148,7.317666211234813
numa-i-luna-apartments_2025_01_01_18_25_53,9.009889173060529,8.850015664160402,8.789855072463768,0.9097347853997481,7.294881393154149
m7-contemporary-apartments-my-extra-home_2025_01_01_18_12_29,8.85627824556396,8.950890447922289,8.868571428571428,0.8564744929006389,7.283043841372746
numa-salzburg-vogelweider_2025_01_01_17_06_28,8.868238147675937,8.827424770111778,8.809348093480935,0.97309414051587,7.264283488304133
numa-venice-forcola_2025_01_01_18_21_55,8.925388471177945,9.015731292517007,8.705882352941176,0.6774696446828922,7.243513881654507
urban-vida-granada-i_2025_01_01_18_25_11,8.691990490463702,8.90532581453634,8.865546218487395,0.9257196871218557,7.235459092819415
sunrise-apartments_2025_01_01_17_07_32,8.955608248124555,8.659305555555555,8.761467889908257,0.88150372507779,7.218176580818878
joyn-munich-rose_2025_01_01_18_11_33,9.035195217324915,8.749596642764015,8.630573248407643,0.7550325351418254,7.206607545018754
antik-city-prague_2025_01_01_17_09_29,8.842708240269216,8.730783852906615,8.742690058479532,0.8974961634483372,7.200680182616969
numa-i-drejervej_2025_01_01_17_11_00,8.823388195950086,8.703659853772017,8.745967741935484,0.9541904928574152,7.200261456283384
numa-i-novela-rooms-amp-apartments_2025_01_01_18_06_36,8.798878570868371,8.698193942267409,8.71116504854369,0.8038490026288945,7.152773119489066
oslo-apartments-dronningensgate-15_2025_01_01_18_24_15,8.723401368239603,8.668337510442774,8.706976744186047,0.8951655582764885,7.139882085784384
loreto-rooms-amp-apartments_2025_01_01_18_13_09,8.664324133720685,8.618977823804194,8.75609756097561,0.9681480809475839,7.136695702500674
numa-i-felice-rooms-amp-apartments_2025_01_01_18_12_22,8.66783020900668,8.63611233967271,8.733727810650887,0.9537711106090202,7.133563322404707
the-wood_2025_01_01_17_06_57,8.722581742752197,8.725673110789339,8.723880597014926,0.6805920264409541,7.1152813550649165
townhouse-nora-salzburg_2025_01_01_17_06_50,8.615419501133786,8.949404761904763,8.674418604651162,0.6036249338806974,7.111306678755256
sevilla-luxury-rentals-catedral-sevilla_2025_01_01_18_26_33,8.531759392870505,8.727179487179486,8.76842105263158,0.8707853488270767,7.107585022579334
numa-i-tullo-rooms_2025_01_01_18_14_15,8.618159618159618,8.665496521189121,8.584,0.9464543203209473,7.0871128798093554
numa-munich-obersendling_2025_01_01_18_10_41,8.934410173160172,8.371606300177728,8.5,0.9381183479390722,7.0858482965802985
numa-paris-champs-elysees_2025_01_01_17_11_28,8.827844986518965,8.574543610547668,8.574380165289256,0.7100667397211907,7.077597787859159
stilwerk-kantgaragen-berlin63_2025_01_01_17_11_33,8.600163003663004,8.682206682206683,8.663900414937759,0.7601199272409865,7.068599660833209
palazzo-belfiore_2025_01_01_18_13_04,8.638031104697772,8.526588883677299,8.597222222222221,0.9312011934892677,7.058602346582065
