mean_rating,low_score_proportion,variance_rating,rating_std,review_count,confidence_interval,recent_trend,low_score_trend,variance_trend,stay_type_variation,room_type_variation,guest_origin_variation,origin_count,max_origin_diff,main_origin_ratio,time_variation,performance_deviation,stability_index,risk_score,combined_name,year,month,date
6.833333333333333,0.3333333333333333,11.366666666666665,3.371448748930742,6,7.076236950421299,0.9722222222222222,-0.11111111111111112,-1.1055555555555558,1.4142135623730951,0.23570226039551562,3.456877203488721,5,8.5,0.3333333333333333,,-0.8048570689818405,,,Numa Alegre - alvarez-quintero-apartment,2024,7,2024-07-01
9.571428571428571,0.0,0.6190476190476191,0.7867957924694432,7,1.4553294869197764,0.22448979591836732,0.0,-0.19727891156462588,1.0897247358851685,0.34694433324435525,0.47871355387816905,4,1.0,0.5714285714285714,,0.6572631630589851,0.6944178049845432,,Numa Alegre - alvarez-quintero-apartment,2024,8,2024-08-01
8.5,0.125,2.857142857142857,1.6903085094570331,8,2.8262665558296254,-0.1875,0.015625,0.35714285714285715,1.0540925533894596,0.9622504486493761,1.855172947912584,6,5.0,0.25,,0.049950646066291196,,,Numa Alegre - alvarez-quintero-apartment,2024,9,2024-09-01
9.166666666666666,0.0,0.6969696969696971,0.834847109936722,12,1.0608730944145783,0.01388888888888884,0.0,0.05808080808080809,0.898494110535326,0.3944933459514876,0.8432740427115678,10,2.0,0.25,,0.4258874779706131,,,Numa Alegre - alvarez-quintero-apartment,2024,10,2024-10-01
7.833333333333333,0.16666666666666666,4.333333333333333,2.0816659994661326,12,2.645254950404796,-0.013888888888888914,0.013888888888888888,0.3611111111111111,1.0873323625583242,0.9655525188547056,2.074739852257496,11,8.0,0.16666666666666666,,-0.4464269929489353,,,Numa Alegre - alvarez-quintero-apartment,2024,11,2024-11-01
8.466666666666667,0.06666666666666667,1.8380952380952376,1.3557637102737474,15,1.501593834945588,0.03111111111111112,0.0044444444444444444,0.12253968253968255,0.31681283176407293,0.916350955733705,1.5518486160009703,8,5.0,0.4,,-0.08574601125202773,0.7273005920605384,,Numa Alegre - alvarez-quintero-apartment,2024,12,2024-12-01
10.0,0.0,0.0,0.0,2,,0.0,0.0,0.0,,,0.0,2,0.0,0.5,,0.8287251336856679,0.9427494069036179,,Numa Anjos - numa-lisbon-anjos,2024,12,2024-12-01
10.0,0.0,,,1,inf,0.0,0.0,0.0,,,,1,0.0,1.0,,0.9776259552411667,,,Numa Anjos - numa-lisbon-anjos,2025,1,2025-01-01
7.742424242424242,0.18181818181818182,5.24032634032634,2.2891759085588728,66,1.1254993534623736,-0.00555555555555555,0.003030303030303031,0.022187391152908357,0.36982709895891225,0.8814079854356718,1.4086694714628285,30,4.5,0.25757575757575757,,-0.31353920544812464,,,Numa Arc - numa-i-arc-rooms-amp-apartments,2024,7,2024-07-01
8.523809523809524,0.10476190476190476,2.694139194139195,1.64138331724774,105,0.6352962530394493,-0.004444444444444445,0.0006349206349206348,0.018215654077723065,0.5105168482237364,0.409393136361808,1.0921986940293436,28,4.5,0.29523809523809524,,0.07747977576226252,0.5186668256598658,,Numa Arc - numa-i-arc-rooms-amp-apartments,2024,8,2024-08-01
7.9818181818181815,0.18181818181818182,4.238198498748958,2.0586885385480143,110,0.7780738619654537,0.05,-0.007575757575757576,-0.013479623824451408,0.2721308796683703,1.346959380331331,1.206171416458017,26,4.0,0.20909090909090908,,-0.232827804804863,,,Numa Arc - numa-i-arc-rooms-amp-apartments,2024,9,2024-09-01
8.007194244604317,0.14388489208633093,4.123136273589824,2.0305507315971756,139,0.6810982811941706,-0.010071942446043168,0.00023980815347721837,0.008236169684941709,0.30803646911570715,0.9438195035506525,1.7021585891812845,39,9.0,0.2302158273381295,,-0.2033199457309305,,,Numa Arc - numa-i-arc-rooms-amp-apartments,2024,10,2024-10-01
8.139344262295081,0.1557377049180328,3.4762904755453183,1.8644812886015558,122,0.6683769747762645,-0.004098360655737705,0.0005464480874316939,0.01681741096664781,0.4960538886692897,0.6022914695971451,1.5321040219620448,34,5.0,0.2786885245901639,,-0.26801604840988097,,,Numa Arc - numa-i-arc-rooms-amp-apartments,2024,11,2024-11-01
8.471337579617835,0.08917197452229299,2.7379552506941036,1.6546767813364953,157,0.5217033908441451,-0.01210191082802548,0.0010615711252653925,0.02156819679332307,0.45340395378041304,0.7947071415641975,0.9504029192168864,34,3.5,0.21656050955414013,,-0.08296030574266325,0.45514952054084806,,Numa Arc - numa-i-arc-rooms-amp-apartments,2024,12,2024-12-01
7.75,0.25,2.25,1.5,4,4.773669457926395,-0.3125,0.0625,0.5625,0.7071067811865476,1.5275252316519465,1.5,4,3.0,0.25,,-0.4172793711395226,,,Numa Arc - numa-i-arc-rooms-amp-apartments,2025,1,2025-01-01
7.153846153846154,0.23076923076923078,5.1753846153846155,2.2749471676029347,26,1.8377420932260167,-0.03254437869822484,0.008875739644970416,0.19905325443786984,0.8240220541217403,1.0946456083758376,1.5101295023356265,14,5.5,0.34615384615384615,,-0.6316360273513634,,,Numa Artol - excelsiordusseldorf,2024,7,2024-07-01
7.541666666666667,0.20833333333333334,3.476449275362319,1.8645238736369987,24,1.5746387640001576,-0.10243055555555554,0.008680555555555556,0.1448520531400966,0.7006532254730834,2.3530206860982648,0.8004891181539124,11,2.083333333333333,0.5,,-0.4660671498284148,0.3532664366965662,,Numa Artol - excelsiordusseldorf,2024,8,2024-08-01
