Hotel Name,stay_type,rating_volatility,trend,baseline_gap,review_count,avg_rating,norm_volatility,norm_trend,norm_baseline_gap,norm_avg_rating,composite_risk_score,low_rating_probability,confidence_score,low_rating_risk_description,multi_factor_cluster
about-berlin-hotel,Couple,1.773586374738901,0.002249466942535399,0.10763642961621223,177,8.559322033898304,0.44928525259877733,0.3553311082515773,0.4116222760290559,0.4116222760290559,0.4079169674952148,40.79169674952148,0.946524064171123,Low Risk,2.0
about-berlin-hotel,Family,1.5133080887567871,-0.0009905377140956594,0.20216054956406104,130,8.653846153846153,0.38335150551489705,0.3761792968122403,0.38461538461538475,0.38461538461538475,0.3816422005892707,38.164220058927064,0.9285714285714286,Low Risk,2.0
about-berlin-hotel,Group,1.9665571282766008,0.012963965403819042,0.16055929367709076,49,8.612244897959183,0.49816864219976326,0.28638741590329475,0.3965014577259477,0.3965014577259477,0.3990507597449872,39.90507597449872,0.8305084745762712,Low Risk,2.0
about-berlin-hotel,Solo traveller,2.2510084642544665,0.004711385582147542,-0.2850189376154262,180,8.166666666666666,0.5702259111081858,0.3394896050875004,0.523809523809524,0.523809523809524,0.4847592837474485,48.475928374744846,0.9473684210526315,Low Risk,0.0
almodovarhotel-berlin-biohotel,Couple,1.9306216537770844,0.008341109312782488,-0.39534757611307825,142,8.056338028169014,0.48906546066446926,0.31613372360612163,0.5553319919517102,0.5553319919517102,0.4603792254974993,46.03792254974993,0.9342105263157895,Low Risk,0.0
almodovarhotel-berlin-biohotel,Family,1.7369038594104789,0.004772625884235343,-0.17895833155481888,55,8.272727272727273,0.4399928305323782,0.33909554720773,0.49350649350649334,0.49350649350649334,0.42845342757592403,42.845342757592405,0.8461538461538461,Low Risk,2.0
almodovarhotel-berlin-biohotel,Group,1.5747172607908269,0.00428484546912147,0.08535143275494406,54,8.537037037037036,0.3989076891675015,0.34223422728637726,0.4179894179894182,0.4179894179894182,0.388584255690835,38.8584255690835,0.84375,Low Risk,2.0
almodovarhotel-berlin-biohotel,Solo traveller,2.0148837751972786,0.0022961327414045547,-0.4432110280109054,118,8.008474576271187,0.5104107579930834,0.35503083171581157,0.569007263922518,0.569007263922518,0.48430555718520396,48.430555718520395,0.921875,Low Risk,0.0
alte-schonhauser-str-2-10119-berlin,Couple,1.1649363848547942,0.0049485732633606895,0.31427184252641815,47,8.76595744680851,0.29510191631238913,0.3379633932371323,0.35258358662613987,0.35258358662613987,0.32807894399962484,32.807894399962485,0.8245614035087719,Low Risk,1.0
alte-schonhauser-str-2-10119-berlin,Family,1.5772776794365602,0.002048914593977744,0.18246073718132294,41,8.634146341463415,0.3995562949272161,0.3566215857731008,0.39024390243902424,0.39024390243902424,0.3834165448101144,38.34165448101144,0.803921568627451,Low Risk,2.0
alte-schonhauser-str-2-10119-berlin,Group,2.0247881123137055,0.0060946229502534255,0.06346591086942333,66,8.515151515151516,0.5129197266379472,0.33058900260984464,0.42424242424242414,0.42424242424242414,0.42718345359108334,42.71834535910833,0.868421052631579,Low Risk,2.0
alte-schonhauser-str-2-10119-berlin,Solo traveller,2.0563196627134035,-0.007176411004604616,-0.48394366879822126,62,7.967741935483871,0.5209073052458653,0.4159830213250921,0.5806451612903226,0.5806451612903226,0.5103382696851934,51.033826968519335,0.8611111111111112,Moderate Risk,0.0
alvarez-quintero-apartment,Couple,2.063913820812356,0.01113882665144762,0.002859850263362773,22,8.454545454545455,0.5228310588833306,0.2981314844745966,0.44155844155844143,0.44155844155844143,0.42697577049699914,42.697577049699916,0.6875,Low Risk,2.0
alvarez-quintero-apartment,Family,1.997498435543818,-0.006126860770577934,-0.09168560428209283,25,8.36,0.506006700300167,0.4092295677033222,0.46857142857142875,0.46857142857142875,0.46387121541605514,46.38712154160552,0.7142857142857143,Low Risk,0.0
alvarez-quintero-apartment,Group,0.8432740427115678,0.0077814182073484665,-0.0516856042820919,10,8.4,0.21361834793382106,0.31973512142446525,0.457142857142857,0.457142857142857,0.33068695820417693,33.068695820417695,0.5,Low Risk,1.0
alvarez-quintero-apartment,Solo traveller,1.1547005383792517,-0.02955045583149953,0.8816477290512417,3,9.333333333333334,0.29250896965085227,0.5599514271917837,0.1904761904761903,0.1904761904761903,0.337030234202,33.703023420200005,0.23076923076923078,Low Risk,1.0
amsterdam-east-by-yays,Family,1.6282998938210638,0.0013965108560735561,-0.32923662469025494,49,8.122448979591837,0.4124812524056842,0.36081955385863146,0.5364431486880464,0.5364431486880464,0.44036940654039514,44.03694065403951,0.8305084745762712,Low Risk,0.0
amsterdam-east-by-yays,Group,1.7647247359475522,0.00470635201682801,0.10600670341021612,52,8.557692307692308,0.4470404205006528,0.3395219941517258,0.4120879120879119,0.4120879120879119,0.4025515146515154,40.25515146515154,0.8387096774193549,Low Risk,2.0
amsterdam-prince-island-by-yays,Couple,1.4142135623730951,-0.006224511697789224,0.5483143957179077,7,9.0,0.3582488604159193,0.40985791400506527,0.2857142857142857,0.2857142857142857,0.34834447534709134,34.834447534709135,0.4117647058823529,Low Risk,2.0
amsterdam-prince-island-by-yays,Family,1.5546181358830522,0.004201487253169578,-0.278753273455024,133,8.172932330827068,0.3938161748551336,0.3427706054674051,0.522019334049409,0.522019334049409,0.4233736097568115,42.33736097568115,0.9300699300699301,Low Risk,2.0
amsterdam-prince-island-by-yays,Group,1.7009674666438057,0.00141895343087268,-0.267685604282093,125,8.184,0.4308894163814658,0.3606751444886507,0.518857142857143,0.518857142857143,0.4406138390801083,44.06138390801083,0.9259259259259259,Low Risk,0.0
